spotify_id,name,artists,country,popularity,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,spotify_url,mood
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",,90,251667,MAYHEM,7/3/2025,0.519,0.601,6,-7.727,0.0317,0.289,0.126,0.498,157.964,https://open.spotify.com/track/7so0lgd0zP2Sbgs2d7a1SZ,joyful
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,,87,186964,"You'll Be Alright, Kid (Chapter 1)",26/9/2024,0.368,0.694,2,-6.141,0.06,0.704,0.055,0.391,168.115,https://open.spotify.com/track/2RkZ5LkEzeHGRsmDqKwmaJ,energetic
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,,99,210373,HIT ME HARD AND SOFT,17/5/2024,0.747,0.507,2,-10.171,0.0358,0.2,0.117,0.438,104.978,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,energetic
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",,92,169917,rosie,6/12/2024,0.777,0.783,0,-4.477,0.26,0.0283,0.355,0.939,149.027,https://open.spotify.com/track/4wJ5Qq0jBN4ajy7ouZIV1c,energetic
0fK7ie6XwGxQTIkpFoWkd1,like JENNIE,JENNIE,,95,123517,Ruby,7/3/2025,0.811,0.743,10,-5.321,0.0611,0.281,0.0868,0.815,130.019,https://open.spotify.com/track/0fK7ie6XwGxQTIkpFoWkd1,energetic
6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",,92,150001,La Plena (W Sound 05),19/2/2025,0.894,0.643,5,-3.485,0.132,0.543,0.101,0.659,99.039,https://open.spotify.com/track/6iOndD4OFo7GkaDypWQIou,energetic
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,,96,211978,Sailor Song,26/7/2024,0.494,0.413,11,-10.432,0.0254,0.682,0.193,0.273,94.938,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,energetic
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,,98,237117,DeBÍ TiRAR MáS FOToS,5/1/2025,0.625,0.131,7,-27.405,0.0717,0.177,0.0807,0.032,136.02,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,energetic
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,,93,180304,Fireworks & Rollerblades,5/4/2024,0.472,0.471,10,-5.692,0.0603,0.151,0.14,0.219,105.029,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,energetic
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,,90,284066,This Wasn't Meant For You Anyway,21/6/2024,0.798,0.562,9,-5.913,0.0375,0.11,0.122,0.647,110.991,https://open.spotify.com/track/35ISBknsCeZQtq66xABI9g,energetic
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,,96,261466,HIT ME HARD AND SOFT,17/5/2024,0.467,0.247,6,-12.002,0.0431,0.612,0.17,0.126,148.101,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,energetic
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,,91,175459,Short n' Sweet,23/8/2024,0.699,0.776,0,-5.282,0.0293,0.131,0.205,0.708,103.963,https://open.spotify.com/track/2HRqTpkrJO5ggZyyK6NPWz,energetic
3LPLRNr58Z9Pn0clnEtkXb,Anxiety,Doechii,,87,249302,Alligator Bites Never Heal (Extended),14/3/2025,0.807,0.596,0,-6.818,0.0394,0.321,0.105,0.881,129.013,https://open.spotify.com/track/3LPLRNr58Z9Pn0clnEtkXb,energetic
2LHNTC9QZxsL3nWpt8iaSR,Abracadabra,Lady Gaga,,88,223398,MAYHEM,7/3/2025,0.679,0.906,10,-3.443,0.0632,0.0119,0.229,0.652,126.01,https://open.spotify.com/track/2LHNTC9QZxsL3nWpt8iaSR,energetic
5UJbgR4XF4y1DvbkxEqe8S,Sports car,Tate McRae,,88,165045,So Close To What,20/2/2025,0.861,0.815,11,-3.672,0.0349,0.0505,0.1,0.886,106.978,https://open.spotify.com/track/5UJbgR4XF4y1DvbkxEqe8S,energetic
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,,97,367725,DeBÍ TiRAR MáS FOToS,5/1/2025,0.168,0.00332,10,-46.113,0.0615,0.192,0.112,0.219,119.387,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2,energetic
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,,94,241023,$ome $exy $ongs 4 U,14/2/2025,0.537,0.727,5,-4.184,0.15,0.247,0.173,0.508,106.037,https://open.spotify.com/track/2u9S9JJ6hTZS3Vf22HOZKg,energetic
1UPB5rYJ0bzn6mNSoAHrZC,You'll Be in My Heart - Spotify Singles,NIKI,,88,241776,Spotify Singles,14/9/2022,0.486,0.613,9,-8.748,0.0394,0.0569,0.126,0.633,187.531,https://open.spotify.com/track/1UPB5rYJ0bzn6mNSoAHrZC,romantic
5ITV0zqzjOYfFWpW0xBmRa,Show Me Love,"WizTheMc, bees & honey",,93,176965,Show Me Love,7/2/2025,0.714,0.691,1,-7.333,0.0434,0.0212,0.111,0.155,107.15,https://open.spotify.com/track/5ITV0zqzjOYfFWpW0xBmRa,energetic
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,,90,170887,MUSE,19/7/2024,0.66,0.756,0,-3.743,0.032,0.00289,0.193,0.838,116.034,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,energetic
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,,96,274192,Not Like Us,4/5/2024,0.898,0.472,1,-7.001,0.0776,0.0107,0.141,0.214,101.061,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,energetic
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,,91,199032,back to friends,27/12/2024,0.436,0.723,1,-2.291,0.0301,9.37e-05,0.0929,0.235,92.855,https://open.spotify.com/track/0FTmksd2dxiE5e3rWyJXs6,energetic
5tlb0AxuzsMWL2GtEppXGX,Multo,Cup of Joe,,82,237692,Silakbo,17/1/2025,0.473,0.561,11,-7.504,0.0445,0.433,0.0973,0.442,208.053,https://open.spotify.com/track/5tlb0AxuzsMWL2GtEppXGX,energetic
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,,95,218423,"Good Luck, Babe!",5/4/2024,0.7,0.582,11,-5.96,0.0356,0.0502,0.0881,0.785,116.712,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,energetic
4oB8Xd7gMlUEtWoD8bmCXW,Morena,"Neton Vega, Peso Pluma",,92,193728,Mi Vida Mi Muerte,14/2/2025,0.697,0.776,4,-7.409,0.0308,0.379,0.341,0.189,118.007,https://open.spotify.com/track/4oB8Xd7gMlUEtWoD8bmCXW,energetic
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,,92,210688,I've Tried Everything But Therapy (Part 1),15/9/2023,0.561,0.604,9,-4.409,0.0337,0.199,0.104,0.242,159.92,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,energetic
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,,92,236906,Submarine,31/5/2024,0.705,0.339,7,-10.612,0.0278,0.552,0.12,0.457,97.989,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5,energetic
0DMJz677XfXiiruhIELu2e,VITAMINA,"Jombriel, DFZM, Jøtta",,90,208743,VITAMINA,27/2/2025,0.815,0.746,10,-4.855,0.0528,0.015,0.056,0.768,92.007,https://open.spotify.com/track/0DMJz677XfXiiruhIELu2e,energetic
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,,88,258034,The Rise and Fall of a Midwest Princess,21/9/2023,0.61,0.65,6,-6.199,0.0474,0.399,0.11,0.507,106.719,https://open.spotify.com/track/6393yGahSJ9slVdOwSxOVR,energetic
6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,,94,204768,DeBÍ TiRAR MáS FOToS,5/1/2025,0.36,0.464,10,-29.598,0.0702,0.749,0.0825,0.184,63.662,https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8,energetic
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,,92,157279,Short n' Sweet,23/8/2024,0.674,0.907,3,-4.086,0.064,0.101,0.297,0.721,112.964,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,energetic
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,,92,289533,Dizzy up the Girl,1/1/1998,0.315,0.715,11,-8.072,0.0362,0.00125,0.0942,0.497,155.925,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,energetic
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,,93,183956,AM,9/9/2013,0.464,0.417,0,-9.345,0.0256,0.136,0.0974,0.479,67.528,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,energetic
5yJaXWIErrrsjQ3J0eR5aK,The Night We Met,Lord Huron,,70,208226,Strange Trails,7/4/2015,0.44,0.378,2,-9.545,0.045,0.968,0.639,0.105,174.121,https://open.spotify.com/track/5yJaXWIErrrsjQ3J0eR5aK,energetic
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,,92,240400,I Love You.,22/4/2013,0.612,0.807,10,-2.81,0.0336,0.0495,0.101,0.398,124.053,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,energetic
4sTlQPMyoFMPdhAJvErBN3,PASSO BEM SOLTO - Slowed,ATLXS,,89,116072,PASSO BEM SOLTO,23/4/2024,0.602,0.867,1,-5.698,0.0312,0.00702,0.259,0.399,115.899,https://open.spotify.com/track/4sTlQPMyoFMPdhAJvErBN3,energetic
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,,92,214357,blue,2/8/2024,0.746,0.317,4,-11.982,0.0342,0.933,0.121,0.585,97.49,https://open.spotify.com/track/3be9ACTxtcL6Zm4vJRUiPG,energetic
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,,93,195824,Si Antes Te Hubiera Conocido,21/6/2024,0.924,0.668,11,-6.795,0.0469,0.446,0.0678,0.787,128.027,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,energetic
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,,94,183685,DeBÍ TiRAR MáS FOToS,5/1/2025,0.142,0.195,6,-20.024,0.139,0.265,0.204,0.12,137.922,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5,energetic
1edcyazKIdKrIuz9cWpXU6,twilight zone,Ariana Grande,,79,198320,eternal sunshine deluxe: brighter days ahead (a cappella version),27/3/2025,0.729,0.476,5,-7.381,0.0303,0.102,0.0995,0.202,114.923,https://open.spotify.com/track/1edcyazKIdKrIuz9cWpXU6,dark
4eLDmhsJW3JoZTXCAozHor,Loco,Neton Vega,,86,186521,Mi Vida Mi Muerte,14/2/2025,0.849,0.708,1,-5.502,0.0686,0.0741,0.139,0.636,91.981,https://open.spotify.com/track/4eLDmhsJW3JoZTXCAozHor,energetic
3D24ErT1MMmUfXWotSj2A2,ME JALO,"Fuerza Regida, Grupo Frontera",,92,212002,MALA MÍA,19/12/2024,0.47,0.75,2,-5.887,0.112,0.216,0.169,0.62,79.814,https://open.spotify.com/track/3D24ErT1MMmUfXWotSj2A2,energetic
2Ufc72Ojfx9lR30r5srBPB,Sdudla or Slender,"Shandesh, Mvzzle",ZA,66,224187,Sdudla or Slender,12/3/2025,0.848,0.68,11,-10.33,0.0662,0.0915,0.0425,0.815,127.052,https://open.spotify.com/track/2Ufc72Ojfx9lR30r5srBPB,energetic
3CLA4E7HOX6MBSjZG7hyhm,Di Chopper,"Shandesh, Mvzzle, Abi wa Mampela, Naleboy Young King",ZA,55,265762,Di Chopper,11/4/2025,0.757,0.722,6,-9.878,0.0589,0.156,0.0575,0.887,127.063,https://open.spotify.com/track/3CLA4E7HOX6MBSjZG7hyhm,energetic
2tUXE87QNnoVQZApV3uyVZ,Ngisakuthanda,"Zee Nxumalo, TBO, PYY Logdrum King, DJ Tearz, Dr Thulz",ZA,66,412092,Ngisakuthanda,6/9/2024,0.767,0.814,8,-5.779,0.0555,0.00891,0.0668,0.546,112.998,https://open.spotify.com/track/2tUXE87QNnoVQZApV3uyVZ,energetic
1SBdVvoxfFvuO6BVY9WqnI,Uvume Kanjani?,LIMIT NALA,ZA,62,284055,Uvume Kanjani?,21/3/2025,0.641,0.721,7,-5.911,0.0272,0.647,0.0945,0.787,129.982,https://open.spotify.com/track/1SBdVvoxfFvuO6BVY9WqnI,energetic
6VBfzBgHu8tFeeg2ZQO4gH,Wayengenalutho,MENZI MUSIC,ZA,63,312293,Sizesiguge,6/12/2024,0.591,0.962,9,-4.144,0.0397,0.201,0.0849,0.93,68.517,https://open.spotify.com/track/6VBfzBgHu8tFeeg2ZQO4gH,energetic
3RCMGDpJlWeEgCLhOz63oa,Ngiyakuthanda,MENZI MUSIC,ZA,60,283062,Sizesiguge,6/12/2024,0.556,0.924,7,-5.459,0.0365,0.424,0.335,0.833,136.027,https://open.spotify.com/track/3RCMGDpJlWeEgCLhOz63oa,energetic
0lhLSwvRKGHfIcVEz3uQK6,Laho,Shallipopi,ZA,76,144000,Laho,13/3/2025,0.965,0.435,6,-8.056,0.175,0.331,0.116,0.559,110.03,https://open.spotify.com/track/0lhLSwvRKGHfIcVEz3uQK6,energetic
